S.NO,GEOID20,NEAR_FID,NEAR_DIST (decimal degree),NEAR_DIST (KM),AZMET_FID,Station_Na,Abbr,Latitude,Longitude,Elevation_ft,,Unique Station names
156,86301,0,0.927,103,0,Aguila,AGU,33.946192,-113.186508,2155,,Aguila
158,86305,0,0.768,85.4,0,Aguila,AGU,33.946192,-113.186508,2155,,Buckeye
90,85326,3,0,0,3,Buckeye,BUC,33.409193,-112.677836,988,,Coolidge
93,85338,3,0.205,22.8,3,Buckeye,BUC,33.409193,-112.677836,988,,Desert Ridge
95,85340,3,0.181,20.1,3,Buckeye,BUC,33.409193,-112.677836,988,,Maricopa
98,85355,3,0.217,24.2,3,Buckeye,BUC,33.409193,-112.677836,988,,Mohave-1
108,85388,3,0.269,29.9,3,Buckeye,BUC,33.409193,-112.677836,988,,Mohave-2
109,85396,3,0.03,3.3,3,Buckeye,BUC,33.409193,-112.677836,988,,Parker-1_River Ranch
38,85122,4,0.101,11.3,4,Coolidge,COO,32.979989,-111.605677,1388,,Payson
39,85131,4,0.144,16,4,Coolidge,COO,32.979989,-111.605677,1388,,Phoenix Encanto
44,85194,4,0.042,4.7,4,Coolidge,COO,32.979989,-111.605677,1388,,Phoenix Greenway
20,85032,5,0.036,4,5,Desert Ridge,DES,33.688202,-111.963449,1676,,Queen Creek
28,85050,5,0.008,0.9,5,Desert Ridge,DES,33.688202,-111.963449,1676,,Safford
32,85085,5,0.074,8.2,5,Desert Ridge,DES,33.688202,-111.963449,1676,,Sahuarita
33,85086,5,0.125,13.9,5,Desert Ridge,DES,33.688202,-111.963449,1676,,Tucson
34,85087,5,0.195,21.7,5,Desert Ridge,DES,33.688202,-111.963449,1676,,Willcox Bench
45,85203,5,0.253,28.1,5,Desert Ridge,DES,33.688202,-111.963449,1676,,Yuma Valley
53,85213,5,0.272,30.2,5,Desert Ridge,DES,33.688202,-111.963449,1676,,
54,85215,5,0.269,29.9,5,Desert Ridge,DES,33.688202,-111.963449,1676,,
62,85250,5,0.154,17.1,5,Desert Ridge,DES,33.688202,-111.963449,1676,,
65,85254,5,0.035,3.8,5,Desert Ridge,DES,33.688202,-111.963449,1676,,
66,85255,5,0.011,1.2,5,Desert Ridge,DES,33.688202,-111.963449,1676,,
68,85258,5,0.114,12.7,5,Desert Ridge,DES,33.688202,-111.963449,1676,,
69,85259,5,0.13,14.4,5,Desert Ridge,DES,33.688202,-111.963449,1676,,
70,85260,5,0.069,7.7,5,Desert Ridge,DES,33.688202,-111.963449,1676,,
71,85262,5,0.082,9.2,5,Desert Ridge,DES,33.688202,-111.963449,1676,,
72,85263,5,0.218,24.2,5,Desert Ridge,DES,33.688202,-111.963449,1676,,
73,85266,5,0.011,1.2,5,Desert Ridge,DES,33.688202,-111.963449,1676,,
74,85268,5,0.183,20.3,5,Desert Ridge,DES,33.688202,-111.963449,1676,,
91,85331,5,0.041,4.5,5,Desert Ridge,DES,33.688202,-111.963449,1676,,
102,85377,5,0.111,12.3,5,Desert Ridge,DES,33.688202,-111.963449,1676,,
40,85138,8,0,0,8,Maricopa,MAC,33.068941,-111.972244,1188,,
41,85139,8,0.067,7.4,8,Maricopa,MAC,33.068941,-111.972244,1188,,
55,85224,8,0.237,26.3,8,Maricopa,MAC,33.068941,-111.972244,1188,,
56,85225,8,0.246,27.4,8,Maricopa,MAC,33.068941,-111.972244,1188,,
57,85226,8,0.136,15.1,8,Maricopa,MAC,33.068941,-111.972244,1188,,
60,85248,8,0.14,15.6,8,Maricopa,MAC,33.068941,-111.972244,1188,,
61,85249,8,0.188,20.9,8,Maricopa,MAC,33.068941,-111.972244,1188,,
78,85286,8,0.208,23.1,8,Maricopa,MAC,33.068941,-111.972244,1188,,
94,85339,8,0.03,3.4,8,Maricopa,MAC,33.068941,-111.972244,1188,,
169,86409,9,0.537,59.7,9,Mohave-1,MOH,34.967462,-114.611077,482,,
170,86426,9,0.004,0.4,9,Mohave-1,MOH,34.967462,-114.611077,482,,
171,86429,9,0.13,14.4,9,Mohave-1,MOH,34.967462,-114.611077,482,,
172,86432,9,1.505,167.2,9,Mohave-1,MOH,34.967462,-114.611077,482,,
173,86442,9,0.073,8.1,9,Mohave-1,MOH,34.967462,-114.611077,482,,
165,86401,10,0.425,47.2,10,Mohave-2,MO2,34.878238,-114.566816,466,,
166,86403,10,0.421,46.7,10,Mohave-2,MO2,34.878238,-114.566816,466,,
167,86404,10,0.262,29.1,10,Mohave-2,MO2,34.878238,-114.566816,466,,
168,86406,10,0.463,51.4,10,Mohave-2,MO2,34.878238,-114.566816,466,,
96,85344,12,0,0,12,Parker-1_River Ranch,PAR,33.964296,-114.485501,322,,
111,85541,14,0,0,14,Payson,PAY,34.232504,-111.345029,4852,,
149,85901,14,1.136,126.2,14,Payson,PAY,34.232504,-111.345029,4852,,
151,85933,14,0.72,80,14,Payson,PAY,34.232504,-111.345029,4852,,
153,86001,14,0.988,109.7,14,Payson,PAY,34.232504,-111.345029,4852,,
154,86004,14,0.714,79.3,14,Payson,PAY,34.232504,-111.345029,4852,,
155,86005,14,0.756,84.1,14,Payson,PAY,34.232504,-111.345029,4852,,
159,86323,14,0.996,110.6,14,Payson,PAY,34.232504,-111.345029,4852,,
160,86324,14,0.813,90.4,14,Payson,PAY,34.232504,-111.345029,4852,,
161,86326,14,0.715,79.4,14,Payson,PAY,34.232504,-111.345029,4852,,
162,86327,14,0.643,71.5,14,Payson,PAY,34.232504,-111.345029,4852,,
163,86336,14,0.687,76.3,14,Payson,PAY,34.232504,-111.345029,4852,,
164,86351,14,0.647,71.9,14,Payson,PAY,34.232504,-111.345029,4852,,
1,85003,15,0.015,1.7,15,Phoenix Encanto,PEN,33.478443,-112.098046,1096,,
2,85004,15,0.023,2.5,15,Phoenix Encanto,PEN,33.478443,-112.098046,1096,,
